Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);TOTAL OPEX
66.17474365;1.2;0.8;97.71%;0.05;142.4700012;3;152.7516479;0.03;0.02;51.6299324;81.72%;0.98;2.340269327;0.1;0.1;2.5;0.8;0.9;0.85;3144.456636;593.9672333;3738.423869
67.56783295;1.2;0.8;98.00%;0.05;144.2003937;3;149.4566956;0.03;0.02;57.75259399;78.94%;0.98;2.361200809;0.1;0.1;2.5;0.8;0.9;0.85;2889.422065;315.1400108;3204.562076
72.80835724;1.2;0.8;97.61%;0.05;147.3783264;3;141.0898132;0.03;0.02;68.25119019;73.44%;0.98;2.351718903;0.1;0.1;2.5;0.8;0.9;0.85;2949.876139;460.0378508;3409.91399
53.20120239;1.2;0.8;99.89%;0.05;141.672287;3;158.2337341;0.03;0.02;65.59627533;74.93%;0.98;2.808428288;0.1;0.1;2.5;0.8;0.9;0.85;3148.17289;600.9133066;3749.086196
73.01544189;1.2;0.8;94.82%;0.05;143.3187866;3;143.3132324;0.03;0.02;62.98226929;76.31%;0.98;2.681852102;0.1;0.1;2.5;0.8;0.9;0.85;3084.953131;789.3637728;3874.316904
72.91936493;1.2;0.8;93.13%;0.05;140.0002289;3;151.3275604;0.03;0.02;52.13021469;81.53%;0.98;2.706022263;0.1;0.1;2.5;0.8;0.9;0.85;3145.01472;560.0038232;3705.018543
68.74759674;1.2;0.8;98.47%;0.05;147.3244781;3;140.9734497;0.03;0.02;59.91862488;77.89%;0.98;2.403850079;0.1;0.1;2.5;0.8;0.9;0.85;2569.068047;217.668129;2786.736176
55.44394684;1.2;0.8;100.00%;0.05;149.0932922;3;143.0338287;0.03;0.02;53.21745682;81.05%;0.98;2.862028122;0.1;0.1;2.5;0.8;0.9;0.85;1917.783599;214.4269819;2132.210581
62.27381134;1.2;0.8;99.87%;0.05;146.0476074;3;157.9071198;0.03;0.02;56.30024719;79.64%;0.98;2.619214296;0.1;0.1;2.5;0.8;0.9;0.85;3090.417452;478.0160605;3568.433513
61.64987946;1.2;0.8;98.28%;0.05;140.2765503;3;159.1520996;0.03;0.02;50.20931625;82.34%;0.98;2.261247158;0.1;0.1;2.5;0.8;0.9;0.85;3149.364929;407.6810695;3557.045999
65.16482544;1.2;0.8;98.49%;0.05;144.9782867;3;144.9235535;0.03;0.02;68.44915771;73.33%;0.98;2.567141533;0.1;0.1;2.5;0.8;0.9;0.85;2814.419062;417.0951686;3231.514231
71.67480469;1.2;0.8;94.01%;0.05;141.7598267;3;144.1733551;0.03;0.02;68.38288879;73.36%;0.98;2.299615383;0.1;0.1;2.5;0.8;0.9;0.85;2744.525232;176.0020684;2920.527301
63.52750015;1.2;0.8;96.52%;0.05;140.1632996;3;149.4922638;0.03;0.02;62.70690536;76.47%;0.98;2.983898878;0.1;0.1;2.5;0.8;0.9;0.85;3089.645263;649.21961;3738.864873
53.27841949;1.2;0.8;100.00%;0.05;146.6064758;3;153.4674377;0.03;0.02;60.37856293;77.64%;0.98;2.268574715;0.1;0.1;2.5;0.8;0.9;0.85;2768.17751;174.9381;2943.11561
64.48922729;1.2;0.8;97.86%;0.05;142.4247437;3;150.4303741;0.03;0.02;51.37208176;81.86%;0.98;2.712198734;0.1;0.1;2.5;0.8;0.9;0.85;3047.616146;518.4417091;3566.057855
61.45187759;1.2;0.8;98.92%;0.05;143.2021332;3;150.4706421;0.03;0.02;54.63749695;80.39%;0.98;2.08945179;0.1;0.1;2.5;0.8;0.9;0.85;2986.754814;377.9188285;3364.673643
73.93226624;1.2;0.8;97.28%;0.05;144.078949;3;157.5901794;0.03;0.02;53.63779831;80.86%;0.98;2.560573816;0.1;0.1;2.5;0.8;0.9;0.85;3050.793769;461.3540376;3512.147807
69.27715302;1.2;0.8;99.34%;0.05;148.2234344;3;148.8731537;0.03;0.02;68.83913422;73.10%;0.98;2.297829151;0.1;0.1;2.5;0.8;0.9;0.85;3089.265072;556.9987407;3646.263813
55.47813797;1.2;0.8;100.03%;0.05;148.1550446;3;156.5466156;0.03;0.02;61.52919769;77.08%;0.98;2.412752151;0.1;0.1;2.5;0.8;0.9;0.85;3293.13272;605.7738956;3898.906615
55.03640366;1.2;0.8;99.87%;0.05;142.1067657;3;159.8065643;0.03;0.02;68.33869934;73.39%;0.98;2.277924061;0.1;0.1;2.5;0.8;0.9;0.85;3135.966777;272.628566;3408.595343
70.72199249;1.2;0.8;95.31%;0.05;140.1138916;3;158.2848206;0.03;0.02;50.84096527;82.09%;0.98;2.58703208;0.1;0.1;2.5;0.8;0.9;0.85;2943.1797;187.7142269;3130.893927
70.57137299;1.2;0.8;98.26%;0.05;147.0170441;3;144.0313873;0.03;0.02;69.60469818;72.67%;0.98;2.746959686;0.1;0.1;2.5;0.8;0.9;0.85;1345.224418;336.3422773;1681.566695
50.71700287;1.2;0.8;99.96%;0.05;142.0666504;3;153.8875427;0.03;0.02;57.07480621;79.27%;0.98;2.445657253;0.1;0.1;2.5;0.8;0.9;0.85;3097.227296;405.1575587;3502.384855
65.89273834;1.2;0.8;99.51%;0.05;147.3164673;3;149.1244965;0.03;0.02;68.65641785;73.21%;0.98;2.489543915;0.1;0.1;2.5;0.8;0.9;0.85;3069.298056;509.326495;3578.624551
73.70870209;1.2;0.8;99.47%;0.05;149.4936981;3;154.2226868;0.03;0.02;56.37696075;79.57%;0.98;2.254191637;0.1;0.1;2.5;0.8;0.9;0.85;2910.726834;234.5666066;3145.293441
70.03949738;1.2;0.8;96.51%;0.05;142.5332336;3;151.6667175;0.03;0.02;54.50142288;80.47%;0.98;2.342040539;0.1;0.1;2.5;0.8;0.9;0.85;3104.939369;637.792914;3742.732283
74.1193924;1.2;0.8;93.76%;0.05;140.4632721;3;154.6308594;0.03;0.02;51.47569656;81.75%;0.98;2.290894508;0.1;0.1;2.5;0.8;0.9;0.85;3038.794191;266.6019349;3305.396126
53.18835068;1.2;0.8;99.68%;0.05;142.8302917;3;144.4302673;0.03;0.02;67.57306671;73.83%;0.98;2.426948071;0.1;0.1;2.5;0.8;0.9;0.85;3014.451826;642.7497238;3657.20155
57.78252029;1.2;0.8;99.95%;0.05;147.350235;3;144.6127777;0.03;0.02;62.61882401;76.50%;0.98;2.206095457;0.1;0.1;2.5;0.8;0.9;0.85;2714.592096;159.2054302;2873.797526
70.01306915;1.2;0.8;98.77%;0.05;146.9741211;3;148.5662689;0.03;0.02;63.16798401;76.23%;0.98;2.637270927;0.1;0.1;2.5;0.8;0.9;0.85;3038.577999;673.4303146;3712.008314
73.42701721;1.2;0.8;92.22%;0.05;141.0548706;3;142.5168152;0.03;0.02;63.51117325;76.05%;0.98;2.631569386;0.1;0.1;2.5;0.8;0.9;0.85;2169.255813;182.1159458;2351.371759
59.29385757;1.2;0.8;99.18%;0.05;142.8034821;3;150.7922668;0.03;0.02;59.88358307;77.90%;0.98;2.370898247;0.1;0.1;2.5;0.8;0.9;0.85;3233.391307;769.7501233;4003.14143
65.41171265;1.2;0.8;99.84%;0.05;147.7215729;3;155.2265472;0.03;0.02;62.25210953;76.69%;0.98;2.039911509;0.1;0.1;2.5;0.8;0.9;0.85;2921.506199;306.5256439;3228.031842
74.77675629;1.2;0.8;91.35%;0.05;140.1981201;3;145.5796661;0.03;0.02;53.05555725;81.11%;0.98;2.514975071;0.1;0.1;2.5;0.8;0.9;0.85;3096.037296;688.4207662;3784.458062
57.70968628;1.2;0.8;99.96%;0.05;147.9576569;3;142.8481598;0.03;0.02;67.27302551;74.00%;0.98;2.853912354;0.1;0.1;2.5;0.8;0.9;0.85;3034.670258;767.6519189;3802.322177
72.28298187;1.2;0.8;97.39%;0.05;146.5475769;3;142.3413239;0.03;0.02;53.19538116;81.05%;0.98;2.680281162;0.1;0.1;2.5;0.8;0.9;0.85;2839.300376;547.350606;3386.650982
69.14266205;1.2;0.8;99.42%;0.05;148.5520477;3;148.397995;0.03;0.02;58.27485657;78.70%;0.98;2.80593276;0.1;0.1;2.5;0.8;0.9;0.85;2812.672351;172.4500184;2985.12237
53.06834793;1.2;0.8;100.00%;0.05;144.7198944;3;157.618988;0.03;0.02;69.42781067;72.77%;0.98;2.685602188;0.1;0.1;2.5;0.8;0.9;0.85;3123.231054;324.4443107;3447.675364
59.86536026;1.2;0.8;99.94%;0.05;146.6940918;3;152.490097;0.03;0.02;62.16555786;76.75%;0.98;2.547278881;0.1;0.1;2.5;0.8;0.9;0.85;2867.084747;317.2744248;3184.359172
63.43259048;1.2;0.8;98.83%;0.05;143.530365;3;152.270813;0.03;0.02;57.92837906;78.86%;0.98;2.292108536;0.1;0.1;2.5;0.8;0.9;0.85;2927.292675;174.688847;3101.981522
59.09988785;1.2;0.8;99.96%;0.05;146.6922455;3;153.0236206;0.03;0.02;53.99761963;80.68%;0.98;2.507577181;0.1;0.1;2.5;0.8;0.9;0.85;3267.569657;695.1311651;3962.700822
50.57876968;1.2;0.8;99.85%;0.05;140.7103119;3;153.6588745;0.03;0.02;55.36091232;80.06%;0.98;2.187726498;0.1;0.1;2.5;0.8;0.9;0.85;2984.118681;256.2676132;3240.386294
74.12010956;1.2;0.8;99.07%;0.05;149.1928864;3;149.8703766;0.03;0.02;62.90555954;76.34%;0.98;2.004149437;0.1;0.1;2.5;0.8;0.9;0.85;2994.341593;367.5080296;3361.849623
74.72264862;1.2;0.8;97.95%;0.05;148.3758392;3;142.8366089;0.03;0.02;57.31500626;79.12%;0.98;2.221517086;0.1;0.1;2.5;0.8;0.9;0.85;3036.622862;720.3318582;3756.95472
55.48602295;1.2;0.8;99.81%;0.05;142.8990021;3;154.5623779;0.03;0.02;63.04343796;76.29%;0.98;2.601387739;0.1;0.1;2.5;0.8;0.9;0.85;3145.2922;654.4912245;3799.783424
52.4520607;1.2;0.8;99.46%;0.05;140.9965515;3;146.7364044;0.03;0.02;61.7435379;76.97%;0.98;2.888047218;0.1;0.1;2.5;0.8;0.9;0.85;2982.210317;555.1710936;3537.38141
68.52813721;1.2;0.8;99.37%;0.05;148.7890015;3;144.979248;0.03;0.02;69.52233124;72.71%;0.98;2.72012949;0.1;0.1;2.5;0.8;0.9;0.85;3074.276261;787.6186898;3861.89495
56.33627319;1.2;0.8;99.99%;0.05;145.8643036;3;155.3570404;0.03;0.02;57.400177;79.09%;0.98;2.061768532;0.1;0.1;2.5;0.8;0.9;0.85;3189.876803;521.8156766;3711.69248
71.08183289;1.2;0.8;98.16%;0.05;146.8354034;3;145.0357819;0.03;0.02;59.34786606;78.17%;0.98;2.497032404;0.1;0.1;2.5;0.8;0.9;0.85;2555.59103;272.682178;2828.273208
70.78538513;1.2;0.8;97.67%;0.05;146.0619812;3;143.9512024;0.03;0.02;57.2768631;79.18%;0.98;2.981388569;0.1;0.1;2.5;0.8;0.9;0.85;2767.217648;361.6343528;3128.852001
72.47175598;1.2;0.8;97.39%;0.05;145.2236481;3;149.3694153;0.03;0.02;57.35767365;79.14%;0.98;2.893949509;0.1;0.1;2.5;0.8;0.9;0.85;2985.26706;761.557473;3746.824533
54.15969086;1.2;0.8;99.91%;0.05;145.932251;3;140.2129822;0.03;0.02;57.0413208;79.28%;0.98;2.484249592;0.1;0.1;2.5;0.8;0.9;0.85;3023.628337;749.9931183;3773.621456
73.74619293;1.2;0.8;95.13%;0.05;142.0707855;3;153.0277863;0.03;0.02;67.15894318;74.05%;0.98;2.057304144;0.1;0.1;2.5;0.8;0.9;0.85;2916.356173;232.1421259;3148.498299
57.12904739;1.2;0.8;100.03%;0.05;149.0462799;3;156.4653931;0.03;0.02;58.47455215;78.60%;0.98;2.490699768;0.1;0.1;2.5;0.8;0.9;0.85;2997.828779;176.5381886;3174.366968
64.16142273;1.2;0.8;99.91%;0.05;149.6442871;3;146.1561432;0.03;0.02;67.06587982;74.12%;0.98;2.927464962;0.1;0.1;2.5;0.8;0.9;0.85;1556.84101;424.5334268;1981.374436
72.28225708;1.2;0.8;98.93%;0.05;148.6724854;3;146.8478088;0.03;0.02;57.9083519;78.88%;0.98;2.738471985;0.1;0.1;2.5;0.8;0.9;0.85;2939.930503;499.315172;3439.245675
73.91612244;1.2;0.8;94.27%;0.05;141.0807343;3;153.6848907;0.03;0.02;51.03722382;81.93%;0.98;2.098120928;0.1;0.1;2.5;0.8;0.9;0.85;3186.573553;693.651567;3880.22512
64.9864502;1.2;0.8;96.47%;0.05;140.7453156;3;149.5035553;0.03;0.02;59.66278458;78.02%;0.98;2.767055035;0.1;0.1;2.5;0.8;0.9;0.85;2895.050273;224.5917273;3119.642
58.1357193;1.2;0.8;99.99%;0.05;149.6046295;3;140.0171356;0.03;0.02;54.61374283;80.42%;0.98;2.925656319;0.1;0.1;2.5;0.8;0.9;0.85;2807.199354;535.6990049;3342.898359
60.49645233;1.2;0.8;100.00%;0.05;149.3339996;3;153.7673492;0.03;0.02;54.4836998;80.45%;0.98;2.15207243;0.1;0.1;2.5;0.8;0.9;0.85;2971.329664;388.2913107;3359.620975
62.10676575;1.2;0.8;98.11%;0.05;140.2470856;3;158.716095;0.03;0.02;65.85575104;74.79%;0.98;2.888525724;0.1;0.1;2.5;0.8;0.9;0.85;3086.270128;314.3896767;3400.659805
62.31414795;1.2;0.8;99.39%;0.05;144.6112518;3;152.3528137;0.03;0.02;62.98022461;76.33%;0.98;2.989653587;0.1;0.1;2.5;0.8;0.9;0.85;3192.377943;781.6469974;3974.024941
67.76132965;1.2;0.8;97.62%;0.05;144.0646362;3;147.1926422;0.03;0.02;61.28056717;77.20%;0.98;2.196629047;0.1;0.1;2.5;0.8;0.9;0.85;1870.955872;186.948051;2057.903923
51.79788208;1.2;0.8;100.00%;0.05;143.3220825;3;158.5399933;0.03;0.02;64.06227875;75.75%;0.98;2.630812645;0.1;0.1;2.5;0.8;0.9;0.85;3051.361609;268.287475;3319.649084
71.41136932;1.2;0.8;97.05%;0.05;144.8579254;3;146.3928528;0.03;0.02;66.80006409;74.26%;0.98;2.650686502;0.1;0.1;2.5;0.8;0.9;0.85;2928.634608;503.023766;3431.658374
69.02180481;1.2;0.8;95.73%;0.05;141.7525024;3;148.362793;0.03;0.02;68.37805176;73.37%;0.98;2.665819645;0.1;0.1;2.5;0.8;0.9;0.85;3027.572675;538.1260608;3565.698736
