Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
61.92%;7.77%;22.23%;2.76%;0.81%;0.27%;0.26%;0.60%;0.06%;3.31%;242.0061847;59.63388268;25.96719441;645.5919003;93.47%;653.9764368;346.1297901;9.758908129;39.93222534;0.039932225;9.943124109;37.74641831;16.50504696;453.1321874;499.7406831;487.9092554;378.3884266;;53.42116165;1.2;80.00%;98.72%;0.05;144.7457428;3;154.7686157;0.03;0.02;66.064888;0.81778791;98.00%;2.977149963;0.1;0.1;2.5;80.00%;0.9;0.85;4879.454065;2830.981373;7710.435438;7.967478454;1000;0.2;800
56.53%;1.80%;20.31%;1.47%;0.82%;0.63%;0.14%;0.06%;0.13%;18.10%;262.1470545;54.91445603;46.89262688;986.5203294;85.12%;645.1038391;361.0807614;51.26332059;73.59854141;0.073598541;18.32603681;69.56991021;55.59400968;576.0276991;806.4966184;673.367053;608.3296949;;55.35100174;1.2;80.00%;100.00%;0.05;141.4667969;3;147.7210846;0.03;0.02;64.8710556;0.746387366;98.00%;2.881688595;0.1;0.1;2.5;80.00%;0.9;0.85;25631.66029;5217.743265;30849.40356;31.44687162;1000;0.2;800
56.32%;3.90%;21.15%;1.66%;0.68%;0.27%;0.19%;0.24%;0.08%;15.51%;239.339699;54.17279994;11.7305516;895.7612754;87.17%;603.1947504;349.3848123;51.44553456;17.02481556;0.017024816;4.239179076;16.09291254;-4.330132406;343.1969963;449.8207038;564.4260278;340.9322816;;52.31460571;1.2;80.00%;99.19%;0.05;143.883667;3;148.080719;0.03;0.02;56.70962143;0.753218123;98.00%;2.543281555;0.1;0.1;2.5;80.00%;0.9;0.85;25722.76728;1206.968441;26929.73572;14.42290592;1000;0.2;800
50.41%;3.59%;20.63%;1.80%;0.60%;0.45%;0.12%;0.40%;0.08%;21.90%;238.4501723;75.458213;24.17980805;844.6889123;91.07%;627.7817173;339.1561334;39.64465862;36.9819658;0.036981966;9.208509485;34.95764985;26.37542668;429.8614693;572.4562772;580.9408971;433.0175095;;60.17406082;1.2;80.00%;99.95%;0.05;148.8212128;3;159.7420197;0.03;0.02;55.3658371;0.794507682;98.00%;2.073828936;0.1;0.1;2.5;80.00%;0.9;0.85;19822.32931;2621.823739;22444.15305;14.0278416;1000;0.2;800
54.56%;2.43%;24.24%;2.66%;1.22%;0.85%;0.08%;0.35%;0.07%;13.54%;213.4419769;75.85251247;22.26118422;643.1796566;99.47%;613.8025077;305.5142948;45.54917048;34.03565432;0.034035654;8.474877926;32.17261334;20.38974568;412.1498892;550.2284064;548.4186151;416.2159851;;60.79028702;1.2;80.00%;100.00%;0.05;147.0307159;3;144.291153;0.03;0.02;57.79999161;0.800770976;98.00%;2.67147398;0.1;0.1;2.5;80.00%;0.9;0.85;22774.58524;2412.946;25187.53124;22.41762581;1000;0.2;800
57.28%;7.85%;12.92%;2.92%;1.39%;0.66%;0.20%;0.59%;0.12%;16.07%;231.0117513;59.27565293;15.45430006;824.3340461;94.81%;633.2015562;335.1510003;4.229407233;23.05098985;0.02305099;5.739696474;21.78922658;5.634523252;379.6157223;569.9096052;630.2524894;431.0381068;;65.24326324;1.2;80.00%;99.74%;0.05;142.3255768;3;156.191452;0.03;0.02;68.59079742;0.788973601;98.00%;2.454098701;0.1;0.1;2.5;80.00%;0.9;0.85;2114.703616;1634.191993;3748.89561;7.293886184;1000;0.2;800
61.80%;3.89%;20.96%;0.58%;0.68%;0.29%;0.27%;0.51%;0.06%;10.95%;242.4965108;58.95765621;47.31734016;782.1443189;84.43%;591.9255306;335.2098691;68.55922237;74.36894741;0.074368947;18.51786791;70.29814579;54.91799418;554.2123219;662.2441749;532.144151;500.0250547;;66.60301971;1.2;80.00%;98.22%;0.05;143.2561188;3;142.7346344;0.03;0.02;50.08184433;0.732479702;98.00%;2.43735075;0.1;0.1;2.5;80.00%;0.9;0.85;34279.61118;5272.360934;39551.97212;15.87012153;1000;0.2;800
52.07%;1.94%;20.21%;1.76%;0.43%;0.75%;0.14%;0.44%;0.02%;22.24%;261.6650057;59.00006594;24.13441692;812.0901629;81.87%;619.3152878;369.8082305;38.91211938;36.88166471;0.036881665;9.183534514;34.86283904;15.43956067;425.7658568;565.6030488;607.3444312;427.8889194;;53.34516907;1.2;80.00%;96.82%;0.05;142.0110016;3;140.6325989;0.03;0.02;62.6062355;0.824055073;98.00%;2.000952482;0.1;0.1;2.5;80.00%;0.9;0.85;19456.05969;2614.712928;22070.77262;26.90169764;1000;0.2;800
50.07%;2.96%;22.94%;0.92%;1.46%;0.88%;0.24%;0.26%;0.13%;20.14%;220.4413251;83.0132841;12.55266087;637.4273204;105.45%;672.0200151;311.0113003;-6.096015836;18.32983049;0.01832983;4.564127791;17.32649366;6.952260942;379.9096347;491.1522922;526.6030856;372.0014354;;60.75469971;1.2;80.00%;99.26%;0.05;147.7325897;3;146.1247864;0.03;0.02;64.16430664;0.765198571;98.00%;2.437041283;0.1;0.1;2.5;80.00%;0.9;0.85;3048.007918;1299.487024;4347.494943;16.89768357;1000;0.2;800
57.87%;3.65%;12.82%;1.17%;0.64%;0.54%;0.18%;0.33%;0.11%;22.69%;211.9896477;54.23606008;18.45988299;690.0179551;88.83%;544.4402844;303.1955849;57.76170752;28.0629035;0.028062903;6.987662971;26.52679848;11.42648537;357.8629064;552.8663922;612.086226;417.8710363;;68.91184235;1.2;80.00%;99.88%;0.05;143.934021;3;140.4763336;0.03;0.02;63.92949295;0.756660854;98.00%;2.42429018;0.1;0.1;2.5;80.00%;0.9;0.85;28880.85376;1989.509886;30870.36365;15.84075006;1000;0.2;800
58.67%;4.61%;19.06%;1.64%;1.28%;0.36%;0.13%;0.22%;0.07%;13.95%;245.0247311;61.80427435;22.68070324;786.4450401;87.69%;621.1860776;351.8859815;39.32711787;34.60025523;0.034600255;8.615463552;32.70630917;22.29047724;417.8287212;419.4159591;452.8741505;318.1179642;;62.10366821;1.2;80.00%;96.25%;0.05;142.2051392;3;157.7416534;0.03;0.02;68.95729828;0.758081694;98.00%;2.521559715;0.1;0.1;2.5;80.00%;0.9;0.85;19663.55894;2452.973188;22116.53212;12.73554928;1000;0.2;800
59.08%;6.73%;14.60%;0.26%;1.27%;0.35%;0.15%;0.27%;0.03%;17.26%;248.4136591;73.73646902;28.30916927;840.6766159;87.46%;628.1416473;341.8506447;75.68017348;43.63177833;0.043631778;10.86431281;41.24346547;24.48741735;454.9513087;599.7019045;582.9687939;453.3742108;;70.75524139;1.2;80.00%;98.95%;0.05;146.8952789;3;146.6687317;0.03;0.02;68.47242737;0.730352157;98.00%;2.02483201;0.1;0.1;2.5;80.00%;0.9;0.85;37840.08674;3093.25991;40933.34665;8.780413837;1000;0.2;800
60.11%;2.86%;24.84%;0.29%;0.92%;0.32%;0.06%;0.14%;0.06%;10.41%;250.12493;74.01514066;40.79900496;692.9178304;83.24%;601.9341465;347.2547474;27.26935755;63.72166534;0.063721665;15.86669467;60.23367381;41.90676815;518.5939255;586.6478146;506.8156793;443.7108997;;73.22407532;1.2;80.00%;98.42%;0.05;147.9597778;3;143.6191406;0.03;0.02;65.10900879;0.733164016;98.00%;2.78117609;0.1;0.1;2.5;80.00%;0.9;0.85;13634.67877;4517.525536;18152.20431;21.04816914;1000;0.2;800
58.01%;5.88%;17.44%;1.96%;1.37%;0.83%;0.08%;0.13%;0.08%;14.22%;254.4848955;81.52505961;18.09872113;977.5456962;90.08%;662.7716988;363.0360013;31.02483519;27.04536259;0.027045363;6.734295286;25.56495565;6.211586211;408.2785635;564.7694407;616.9381796;427.4816728;;66.05157471;1.2;80.00%;98.14%;0.05;141.6583405;3;158.378479;0.03;0.02;67.47894287;0.751751056;98.00%;2.8034935;0.1;0.1;2.5;80.00%;0.9;0.85;15512.41759;1917.371674;17429.78927;9.868747657;1000;0.2;800
53.46%;6.70%;18.02%;1.87%;0.95%;0.61%;0.04%;0.29%;0.03%;18.04%;245.62198;88.54130475;35.8417941;988.5305801;90.90%;645.488144;340.5029928;62.43990598;55.67372842;0.055673728;13.86275838;52.62626423;36.61981751;508.235696;630.4011148;552.8215559;476.55742;;67.51528168;1.2;80.00%;97.88%;0.05;141.2922668;3;159.732605;0.03;0.02;63.44341278;0.738827776;98.00%;2.77979517;0.1;0.1;2.5;80.00%;0.9;0.85;31219.95299;3946.969817;35166.92281;7.978795713;1000;0.2;800
51.12%;4.03%;15.96%;1.93%;1.14%;0.77%;0.07%;0.05%;0.07%;24.85%;226.3358876;78.57984156;40.54897358;895.0807202;86.36%;565.0969011;309.3504236;42.09643392;63.45432052;0.063454321;15.80012581;59.98096289;41.92904031;500.2992066;677.0951802;585.1234959;511.4466548;;50.57567215;1.2;80.00%;97.42%;0.05;142.6683807;3;152.6844177;0.03;0.02;58.46246338;0.760846015;98.00%;2.820760489;0.1;0.1;2.5;80.00%;0.9;0.85;21048.21696;4498.572217;25546.78918;12.68585257;1000;0.2;800
49.31%;2.62%;20.43%;2.67%;1.36%;0.71%;0.29%;0.31%;0.09%;22.19%;216.4479307;73.41555593;24.80459769;861.1622331;91.71%;573.8822492;301.230535;16.57123503;38.16619819;0.038166198;9.50338335;36.07705982;15.00844666;409.1486165;517.3739334;517.9451949;391.6339434;;57.561203;1.2;80.00%;99.98%;0.05;141.4768982;3;144.1862946;0.03;0.02;68.39776611;0.786101277;98.00%;2.039327621;0.1;0.1;2.5;80.00%;0.9;0.85;8285.617515;2705.779487;10991.397;18.84841213;1000;0.2;800
50.61%;1.65%;19.53%;0.26%;1.04%;0.56%;0.15%;0.47%;0.02%;25.69%;208.7799549;66.65475683;16.46535486;602.7445788;97.18%;586.5743669;301.6016079;5.404770213;24.77759518;0.024777595;6.169621199;23.42132111;5.35645176;365.0793524;515.8817716;564.0937819;390.4053287;;55.18539429;1.2;80.00%;98.45%;0.05;142.2709961;3;159.263092;0.03;0.02;61.14344788;0.733597486;98.00%;2.806064129;0.1;0.1;2.5;80.00%;0.9;0.85;2702.385106;1756.599083;4458.98419;30.63881508;1000;0.2;800
58.16%;3.21%;14.11%;2.24%;1.45%;0.54%;0.19%;0.37%;0.12%;19.60%;214.2752789;59.42167382;10.78223805;813.9288432;88.21%;546.4176843;307.9272379;91.36004947;15.64390703;0.015643907;3.895332851;14.78759207;1.784276495;311.7830566;426.6508815;540.8924936;323.3454698;;69.73971558;1.2;80.00%;99.86%;0.05;141.2352448;3;154.4008636;0.03;0.02;66.4601059;0.772217215;98.00%;2.774068832;0.1;0.1;2.5;80.00%;0.9;0.85;45680.02474;1109.069406;46789.09414;18.09867246;1000;0.2;800
53.60%;7.22%;15.51%;2.74%;1.21%;0.45%;0.02%;0.54%;0.07%;18.65%;246.2250837;72.84247294;20.14488789;936.7919261;93.43%;665.0609533;354.9098676;28.63723485;30.43201406;0.030432014;7.577571501;28.76622885;14.26948061;422.416208;436.8385049;466.3204417;331.4643247;;73.55596924;1.2;80.00%;96.00%;0.05;147.4308929;3;140.0761566;0.03;0.02;58.3868866;0.744483597;98.00%;2.017155886;0.1;0.1;2.5;80.00%;0.9;0.85;14318.61743;2157.467164;16476.08459;7.425878011;1000;0.2;800
54.29%;6.51%;16.63%;2.30%;1.27%;0.79%;0.13%;0.26%;0.13%;17.68%;226.9302598;72.71996597;43.55412063;629.1077062;83.18%;545.6827637;303.3384743;7.13603369;68.35805898;0.068358059;17.02115669;64.6162809;49.22319737;509.7618426;691.8692837;584.9859374;522.3758829;;50.08200073;1.2;80.00%;97.32%;0.05;149.7048798;3;149.3008728;0.03;0.02;59.60674667;0.786475557;98.00%;2.875070095;0.1;0.1;2.5;80.00%;0.9;0.85;3568.016845;4846.221068;8414.237913;8.3432137;1000;0.2;800
56.79%;3.79%;13.69%;0.90%;1.23%;0.90%;0.18%;0.09%;0.12%;22.30%;229.8598509;68.92082921;39.38690327;899.5104737;88.36%;587.1677858;313.3670549;48.01632332;61.6275462;0.061627546;15.345259;58.2541824;35.23036638;503.8243285;661.0186467;566.7548992;499.1238022;;71.16439056;1.2;80.00%;100.00%;0.05;148.9506836;3;154.0579224;0.03;0.02;62.13979721;0.780084883;98.00%;2.349482536;0.1;0.1;2.5;80.00%;0.9;0.85;24008.16166;4369.06368;28377.22534;14.97552103;1000;0.2;800
55.23%;2.32%;16.77%;0.88%;0.96%;0.73%;0.01%;0.26%;0.03%;22.80%;240.4446866;59.35682745;23.46902833;746.1218221;89.78%;624.0690157;345.0827846;57.79219692;35.91520633;0.035915206;8.942886376;33.94928258;12.51285966;424.119344;437.120086;457.498216;331.3628631;;51.38195038;1.2;80.00%;99.58%;0.05;147.9081268;3;156.5023041;0.03;0.02;63.73979568;0.767648938;98.00%;2.144517422;0.1;0.1;2.5;80.00%;0.9;0.85;28896.09846;2546.196193;31442.29465;23.81525475;1000;0.2;800
60.62%;1.74%;16.07%;2.26%;1.42%;0.52%;0.13%;0.59%;0.10%;16.55%;233.8447409;65.37242042;14.81246743;679.9601116;92.53%;625.548277;338.3079384;54.29536752;21.96430666;0.021964307;5.469112357;20.76202616;6.329323762;371.8326309;415.9280081;487.7846174;315.5819711;;50.52376938;1.2;80.00%;100.00%;0.05;143.1896515;3;146.8029022;0.03;0.02;64.3687439;0.759184023;98.00%;2.695561171;0.1;0.1;2.5;80.00%;0.9;0.85;27147.68376;1557.151962;28704.83572;34.83402844;1000;0.2;800
50.62%;6.30%;17.32%;0.85%;0.26%;0.86%;0.18%;0.53%;0.11%;22.97%;256.6527525;70.09421501;11.52639573;927.1563413;92.40%;685.5992798;375.2245845;28.68281681;16.48114374;0.016481144;4.103804791;15.57900018;0.120917791;379.2009217;397.9244214;492.048301;302.3399837;;51.55551147;1.2;80.00%;99.96%;0.05;146.7208405;3;144.5;0.03;0.02;52.12462616;0.755711148;98.00%;2.78010273;0.1;0.1;2.5;80.00%;0.9;0.85;14341.4084;1168.425014;15509.83342;8.03621649;1000;0.2;800
62.91%;2.06%;15.83%;0.65%;0.70%;0.81%;0.22%;0.12%;0.14%;16.56%;214.314394;80.32384891;38.16813702;878.7388543;91.78%;568.6672875;298.7596828;17.98681567;59.65472328;0.059654723;14.8540261;56.3893477;51.22059211;487.9684634;623.666988;534.7690276;471.2537678;;72.6677475;1.2;80.00%;100.00%;0.05;146.2823944;3;145.2532196;0.03;0.02;52.99729538;0.815350171;98.00%;2.554354191;0.1;0.1;2.5;80.00%;0.9;0.85;8993.407834;4229.201078;13222.60891;30.47283935;1000;0.2;800
60.62%;4.57%;16.19%;2.66%;0.98%;0.43%;0.29%;0.09%;0.13%;14.02%;266.332794;67.83437171;13.45925347;895.1025336;97.41%;750.0204297;388.6061767;-4.961582873;19.55045394;0.019550454;4.868063032;18.48030273;1.617921178;420.7238903;381.9001025;439.3007557;290.3903193;;53.25008774;1.2;80.00%;97.49%;0.05;147.341156;3;159.8552551;0.03;0.02;63.82740784;0.811500877;98.00%;2.109402657;0.1;0.1;2.5;80.00%;0.9;0.85;2480.791436;1386.022704;3866.814141;13.25560808;1000;0.2;800
56.02%;6.87%;12.54%;2.36%;1.08%;0.38%;0.19%;0.21%;0.11%;20.26%;256.6588848;63.94715764;28.11473766;701.8075111;91.00%;675.2062283;358.037003;57.46980572;43.31135495;0.043311355;10.78452738;40.9405814;29.42358219;475.8624179;558.5950417;531.2869927;422.5585528;;59.88483429;1.2;80.00%;100.00%;0.05;140.8577423;3;157.3861694;0.03;0.02;52.84357834;0.758800476;98.00%;2.890644312;0.1;0.1;2.5;80.00%;0.9;0.85;28734.90286;3070.543605;31805.44646;8.159578069;1000;0.2;800
57.84%;4.02%;16.82%;0.54%;0.93%;0.42%;0.07%;0.28%;0.04%;19.04%;237.1673248;58.94936591;41.49983779;907.2093443;82.95%;568.7457795;331.0632305;49.64187699;65.01780081;0.065017801;16.1894324;61.45886152;44.71807318;508.2269226;585.9112824;504.6131244;442.9195799;;64.7039032;1.2;80.00%;98.79%;0.05;144.2582092;3;149.383255;0.03;0.02;57.15258026;0.812024158;98.00%;2.574249744;0.1;0.1;2.5;80.00%;0.9;0.85;24820.93849;4609.414614;29430.35311;14.39046859;1000;0.2;800
55.52%;5.43%;17.68%;0.61%;1.07%;0.72%;0.12%;0.49%;0.07%;18.29%;244.8891154;66.7665766;24.83929069;843.1315431;94.38%;668.2084873;346.946148;12.58653002;38.06621266;0.038066213;9.478486951;35.98254729;16.35231502;452.3636582;496.9289042;486.0399683;376.3829675;;54.70280075;1.2;80.00%;98.65%;0.05;145.2573242;3;156.9016876;0.03;0.02;51.55773163;0.792408903;98.00%;2.244409561;0.1;0.1;2.5;80.00%;0.9;0.85;6293.265008;2698.691046;8991.956055;10.22931927;1000;0.2;800
60.73%;6.16%;15.73%;1.32%;0.68%;0.67%;0.15%;0.16%;0.13%;14.26%;235.0683859;58.15188416;33.03515982;691.462913;87.69%;595.9227735;328.0462016;58.75015473;51.40349099;0.051403491;12.79946926;48.58977072;32.92613239;469.3288122;589.9326771;546.7902607;445.8504719;;61.85536575;1.2;80.00%;100.00%;0.05;140.7208862;3;147.3405914;0.03;0.02;68.08036804;0.817792414;98.00%;2.965111256;0.1;0.1;2.5;80.00%;0.9;0.85;29375.07737;3644.232804;33019.31017;9.852232598;1000;0.2;800
62.34%;7.43%;24.37%;0.31%;0.80%;0.75%;0.26%;0.28%;0.05%;3.42%;257.1016924;58.24736218;37.45682279;986.5275282;89.47%;664.9925933;362.6991305;16.75386343;58.37345538;0.058373455;14.53499039;55.17821375;40.07584462;527.5838567;590.2184848;510.9672058;446.2669853;;60.12305069;1.2;80.00%;97.17%;0.05;145.2545013;3;152.9099121;0.03;0.02;50.55944061;0.735247159;98.00%;2.090198278;0.1;0.1;2.5;80.00%;0.9;0.85;8376.931714;4138.366031;12515.29774;8.389176028;1000;0.2;800
62.47%;2.20%;19.43%;2.77%;0.72%;0.56%;0.01%;0.29%;0.10%;11.46%;263.9540185;55.84139;44.89391998;690.9350058;76.19%;581.4330495;359.4295231;77.14322232;70.38078295;0.070380783;17.52481495;66.52828516;49.20102086;534.461281;800.7981392;715.3869936;604.0610224;;56.70246887;1.2;80.00%;99.77%;0.05;146.706604;3;147.6127777;0.03;0.02;53.70427322;0.822097957;98.00%;2.905460358;0.1;0.1;2.5;80.00%;0.9;0.85;38571.61116;4989.621387;43561.23255;28.33628908;1000;0.2;800
