Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Alumunium Feed (Al) from bauxite   ;Alumunium in Recycled Spent Liquor  ;Alumunium Lost in Red Mud   ;Alumina Hydrate Seed;Alumunium Recovery Rate (From Feed) ;Pure Al(OH)3 (dry, precipitated)    ;NaOH Consumed (Net, Digestion)  ;Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaOH Consumed (Net, Pre-Desilication)   ;CaOH2 Lost in Red Mud (Net, Clarification)  ;CaOH2  consumption (Net, Spent Liquor Conditioning) ;Total CaO consumed  ;CaO Addition in process ;Water Consumption (Pre-Decilication, Digestion, Precipitation)  ;Water added from redmud washing into conditioning   ;Water removed through evaporation   ;Wet Red Mud Discharge   ;-----;Bauxite Particle size ;Target Ca/Si Ratio in Pre-Desilication Slurry   ;Pre-Desilication Process Efficiency ;Digestion Efficiency of Bauxite   ;Steam Injected Into digester    ;Suhu Digester   ;L/S Ratio (Liquor-to-Solid in Digester) ;Target NaOH Solution Concentration in Digestion Tank    ;Digestion Steam Evaporation Loss    ;Steam Flashing Water release    ;Precipitation Temperature   ;Precipitation Yield (Al(OH)? from liquor)   ;Clarification Process Efficiency    ;Seed Alumino Hydrate Ratio  ;Free Moisture in Wet Alumina Hydrate    ;NaOH affected by carbonation    ;Wash Water Added to Red Mud (ton/ton RM)    ;Red Mud Wash Efficiency ;Spent Liquor Na2CO3 conversion efficiency   ;Minimum Causticity (Active NaOH/(NaOH+Na2CO3)   ;Total NaOH OPEX (per Hr)  ;Total CaO OPEX (Per Hr);Total OPEX;Al/Si Rati;Bauxite Feed Rate;Moisture in Bauxite;Dry Bauxite Feed rate
61.92%;7.77%;22.23%;2.76%;0.81%;0.27%;0.26%;0.60%;0.06%;3.31%;262.1579600;81.3131511;47.0024116;7921.9701387;85.90%;651.0550564;365.4001374;43.1437705;73.5865162;0.0241782;18.3230425;69.5585433;49.2670791;782.8114689;795.4882608;459.0136373;600.4538630;;53.42116165;1.2;80.00%;100.00%;0.05;144.7457428;3;154.7686157;0.03;0.02;66.064888;0.746709460;98.00%;2.977149963;0.1;0.1;2.5;80.00%;0.9;0.85;21571.8852505;5216.8907445;26788.7759950;7.9691120;1000;0.2;800
56.53%;1.80%;20.31%;1.47%;0.82%;0.63%;0.14%;0.06%;0.13%;18.10%;239.3376854;79.6305662;11.8387421;6589.3793350;95.25%;659.0506126;346.6211029;37.2998959;17.0470694;0.0316380;4.2447203;16.1139482;6.3543813;416.3587791;456.8437504;489.9420201;346.4346156;;55.35100174;1.2;80.00%;99.19%;0.05;141.4667969;3;147.7210846;0.03;0.02;64.8710556;0.753218245;98.00%;2.881688595;0.1;0.1;2.5;80.00%;0.9;0.85;18649.9479425;1208.5461184;19858.4940609;31.4055556;1000;0.2;800
56.32%;3.90%;21.15%;1.66%;0.68%;0.27%;0.19%;0.24%;0.08%;15.51%;238.4485838;61.2285648;24.1006549;5610.4300197;91.96%;633.9678871;341.6501055;38.6364210;36.9353170;0.0549745;9.1968939;34.9135545;22.5411594;534.9898688;565.9001859;470.8601675;427.9397738;;52.31460571;1.2;80.00%;99.95%;0.05;143.883667;3;148.080719;0.03;0.02;56.70962143;0.794492057;98.00%;2.543281555;0.1;0.1;2.5;80.00%;0.9;0.85;19318.2104809;2618.5165899;21936.7270708;14.4410256;1000;0.2;800
50.41%;3.59%;20.63%;1.80%;0.60%;0.45%;0.12%;0.40%;0.08%;21.90%;213.4267242;52.8904431;22.1471837;4079.1696900;91.80%;566.4157940;305.6396231;41.8354663;33.9994329;0.3109649;8.4658588;32.1383746;20.9570160;484.4086510;549.6795351;481.0849265;415.6405008;;60.17406082;1.2;80.00%;100.00%;0.05;148.8212128;3;159.7420197;0.03;0.02;55.3658371;0.800284240;98.00%;2.073828936;0.1;0.1;2.5;80.00%;0.9;0.85;20917.7331681;2410.3780917;23328.1112599;14.0417827;1000;0.2;800
54.56%;2.43%;24.24%;2.66%;1.22%;0.85%;0.08%;0.35%;0.07%;13.54%;230.9970655;62.7379025;15.4425474;5692.6994261;94.42%;630.5793899;334.2799203;37.5310038;23.0135437;0.0480754;5.7303724;21.7538301;7.6744147;442.0953494;571.9919495;568.5556897;432.4918908;;60.79028702;1.2;80.00%;99.74%;0.05;147.0307159;3;144.291153;0.03;0.02;57.79999161;0.789296602;98.00%;2.67147398;0.1;0.1;2.5;80.00%;0.9;0.85;18765.5018785;1631.5372599;20397.0391383;22.4526749;1000;0.2;800
57.28%;7.85%;12.92%;2.92%;1.39%;0.66%;0.20%;0.59%;0.12%;16.07%;242.5130483;78.1247932;47.3662101;6061.2416458;83.14%;582.9124453;330.6113229;44.1100741;74.3441638;0.1769926;18.5116968;70.2747187;45.2010516;756.1428876;673.8992073;339.3357357;509.0891483;;65.24326324;1.2;80.00%;98.22%;0.05;142.3255768;3;156.191452;0.03;0.02;68.59079742;0.732503367;98.00%;2.454098701;0.1;0.1;2.5;80.00%;0.9;0.85;22055.0370670;5270.6039053;27325.6409723;7.2968153;1000;0.2;800
61.80%;3.89%;20.96%;0.58%;0.68%;0.29%;0.27%;0.51%;0.06%;10.95%;261.6499019;54.7884568;24.0784204;5502.2236606;89.76%;678.9863830;364.7467668;16.5746025;36.8406111;0.0000000;9.1733122;34.8240326;22.4694128;555.3572512;578.2780639;479.8135497;437.2795333;;66.60301971;1.2;80.00%;96.82%;0.05;143.2561188;3;142.7346344;0.03;0.02;50.08184433;0.824083042;98.00%;2.43735075;0.1;0.1;2.5;80.00%;0.9;0.85;8287.3012554;2611.8024448;10899.1037002;15.8868895;1000;0.2;800
52.07%;1.94%;20.21%;1.76%;0.43%;0.75%;0.14%;0.44%;0.02%;22.24%;220.4548607;68.6742484;12.5426899;4184.5991458;94.74%;603.7925503;318.6483843;35.5861358;18.3729526;0.0754794;4.5748652;17.3672553;10.4788331;399.5003406;471.8801865;501.1490836;357.3902112;;53.34516907;1.2;80.00%;99.26%;0.05;142.0110016;3;140.6325989;0.03;0.02;62.6062355;0.764833600;98.00%;2.000952482;0.1;0.1;2.5;80.00%;0.9;0.85;17793.0678851;1302.5441499;19095.6120349;26.8402062;1000;0.2;800
50.07%;2.96%;22.94%;0.92%;1.46%;0.88%;0.24%;0.26%;0.13%;20.14%;211.9872264;67.5385986;18.4994697;5015.2870240;92.97%;569.7675775;305.0371806;36.7791263;28.0329586;0.1826492;6.9802067;26.4984927;9.5569825;447.2051664;548.0128866;517.2683178;414.4491081;;60.75469971;1.2;80.00%;99.88%;0.05;147.7325897;3;146.1247864;0.03;0.02;64.16430664;0.756930656;98.00%;2.437041283;0.1;0.1;2.5;80.00%;0.9;0.85;18389.5631511;1987.3869503;20376.9501014;16.9155405;1000;0.2;800
57.87%;3.65%;12.82%;1.17%;0.64%;0.54%;0.18%;0.33%;0.11%;22.69%;245.0110004;74.3742058;22.6776077;5550.1961841;89.18%;631.7051532;339.6052891;34.5113039;34.5676685;0.0000000;8.6073495;32.6755062;21.0674953;518.4325035;450.6834651;371.4348919;341.6207379;;68.91184235;1.2;80.00%;96.25%;0.05;143.934021;3;140.4763336;0.03;0.02;63.92949295;0.758239144;98.00%;2.42429018;0.1;0.1;2.5;80.00%;0.9;0.85;17255.6519596;2450.6629624;19706.3149220;15.8547945;1000;0.2;800
58.67%;4.61%;19.06%;1.64%;1.28%;0.36%;0.13%;0.22%;0.07%;13.95%;248.3980541;87.5155979;28.4058437;6264.5273816;90.00%;646.3187809;350.8858577;42.4083693;43.6594388;0.1107764;10.8712003;41.2696119;22.8351653;584.5447046;576.5471087;437.1539519;436.3603601;;62.10366821;1.2;80.00%;98.95%;0.05;142.2051392;3;157.7416534;0.03;0.02;68.95729828;0.730401109;98.00%;2.521559715;0.1;0.1;2.5;80.00%;0.9;0.85;21204.1846346;3095.2208922;24299.4055268;12.7266811;1000;0.2;800
59.08%;6.73%;14.60%;0.26%;1.27%;0.35%;0.15%;0.27%;0.03%;17.26%;250.1339192;82.8754360;40.8394411;5112.9812651;85.77%;620.2284667;345.5547879;41.3465781;63.7370984;0.0258007;15.8705375;60.2482621;38.1254366;703.8795478;591.0296194;321.9989775;446.9906145;;70.75524139;1.2;80.00%;98.42%;0.05;146.8952789;3;146.6687317;0.03;0.02;68.47242737;0.733120662;98.00%;2.02483201;0.1;0.1;2.5;80.00%;0.9;0.85;20673.2890269;4518.6196539;25191.9086808;8.7786033;1000;0.2;800
60.11%;2.86%;24.84%;0.29%;0.92%;0.32%;0.06%;0.14%;0.06%;10.41%;254.4947509;82.8324616;18.1263951;6724.8164617;92.56%;681.0469612;362.0260994;22.5361821;27.0858992;0.0000000;6.7443889;25.6032733;13.1595169;492.0078413;567.5317028;533.2263747;429.5608836;;73.22407532;1.2;80.00%;98.14%;0.05;147.9597778;3;143.6191406;0.03;0.02;65.10900879;0.751930979;98.00%;2.78117609;0.1;0.1;2.5;80.00%;0.9;0.85;11268.0910598;1920.2454993;13188.3365590;21.0174825;1000;0.2;800
58.01%;5.88%;17.44%;1.96%;1.37%;0.83%;0.08%;0.13%;0.08%;14.22%;245.6037348;79.9085384;35.8132054;6815.5133521;86.63%;615.0824564;339.6299149;44.1532182;55.6870934;0.1619137;13.8660862;52.6388976;31.2269788;648.6777492;632.7050089;417.7131486;478.3173005;;66.05157471;1.2;80.00%;97.88%;0.05;141.6583405;3;158.378479;0.03;0.02;67.47894287;0.738830247;98.00%;2.8034935;0.1;0.1;2.5;80.00%;0.9;0.85;22076.6090793;3947.9173202;26024.5263995;9.8656463;1000;0.2;800
53.46%;6.70%;18.02%;1.87%;0.95%;0.61%;0.04%;0.29%;0.03%;18.04%;226.3398666;63.6238533;40.4847357;6059.8179299;83.71%;547.7623109;308.0231425;45.4906787;63.4529805;0.3013404;15.7997922;59.9796962;40.4701969;668.2819845;680.5196752;421.2074792;513.8426723;;67.51528168;1.2;80.00%;97.42%;0.05;141.2922668;3;159.732605;0.03;0.02;63.44341278;0.760837443;98.00%;2.77979517;0.1;0.1;2.5;80.00%;0.9;0.85;22745.3393428;4498.4772186;27243.8165614;7.9791045;1000;0.2;800
51.12%;4.03%;15.96%;1.93%;1.14%;0.77%;0.07%;0.05%;0.07%;24.85%;216.4327344;57.6529433;24.7619679;5735.7193801;90.95%;569.0864401;308.7293388;41.0462648;38.1664943;0.2308531;9.5034571;36.0773397;19.7938647;512.7862794;498.0983401;401.7196263;376.9480409;;50.57567215;1.2;80.00%;99.98%;0.05;142.6683807;3;152.6844177;0.03;0.02;58.46246338;0.786092484;98.00%;2.820760489;0.1;0.1;2.5;80.00%;0.9;0.85;20523.1324015;2705.8004762;23228.9328778;12.6848635;1000;0.2;800
49.31%;2.62%;20.43%;2.67%;1.36%;0.71%;0.29%;0.31%;0.09%;22.19%;208.7695253;74.3571942;16.5059965;4208.6917719;92.26%;556.8183381;297.1088127;35.5092241;24.8129566;0.1957532;6.1784262;23.4547469;7.9175994;420.2737436;527.2709947;518.7862198;398.9311183;;57.561203;1.2;80.00%;98.45%;0.05;141.4768982;3;144.1862946;0.03;0.02;68.39776611;0.733245143;98.00%;2.039327621;0.1;0.1;2.5;80.00%;0.9;0.85;17754.6120354;1759.1060168;19513.7180522;18.8206107;1000;0.2;800
50.61%;1.65%;19.53%;0.26%;1.04%;0.56%;0.15%;0.47%;0.02%;25.69%;214.2734876;64.7197463;10.8043074;5681.3209535;95.82%;593.5907852;312.2618184;39.7539792;15.6264803;0.2798784;3.8909936;14.7711192;3.5181828;376.8430768;415.3573106;464.4903448;315.1083997;;55.18539429;1.2;80.00%;99.86%;0.05;142.2709961;3;159.263092;0.03;0.02;61.14344788;0.772747490;98.00%;2.806064129;0.1;0.1;2.5;80.00%;0.9;0.85;19876.9896105;1107.8339419;20984.8235524;30.6727273;1000;0.2;800
58.16%;3.21%;14.11%;2.24%;1.45%;0.54%;0.19%;0.37%;0.12%;19.60%;246.2388074;80.6816228;20.1210063;6461.6025793;89.75%;638.9148574;341.6673920;39.6727296;30.4006071;0.1155787;7.5697512;28.7365410;11.4306466;494.5270672;470.4093905;418.4877712;356.6339820;;69.73971558;1.2;80.00%;96.00%;0.05;141.2352448;3;154.4008636;0.03;0.02;66.4601059;0.744519644;98.00%;2.774068832;0.1;0.1;2.5;80.00%;0.9;0.85;19836.3647752;2155.2405779;21991.6053531;18.1183801;1000;0.2;800
53.60%;7.22%;15.51%;2.74%;1.21%;0.45%;0.02%;0.54%;0.07%;18.65%;226.9326010;54.9267005;43.5054208;4279.6584866;82.66%;542.2930619;307.1493791;41.3006865;68.3776895;0.1161336;17.0260447;64.6348369;42.1210182;697.9246954;682.3559984;390.2714358;514.9104313;;73.55596924;1.2;80.00%;97.32%;0.05;147.4308929;3;140.0761566;0.03;0.02;58.3868866;0.786130936;98.00%;2.017155886;0.1;0.1;2.5;80.00%;0.9;0.85;20650.3432711;4847.6127639;25497.9560350;7.4238227;1000;0.2;800
54.29%;6.51%;16.63%;2.30%;1.27%;0.79%;0.13%;0.26%;0.13%;17.68%;229.8539349;60.0963082;39.3891232;6344.5472264;86.53%;574.9764941;321.2823557;41.8410201;61.6535676;0.1481590;15.3517383;58.2787795;36.5470122;669.2943233;640.7672907;389.6594901;483.9452183;;50.08200073;1.2;80.00%;100.00%;0.05;149.7048798;3;149.3008728;0.03;0.02;59.60674667;0.780487237;98.00%;2.875070095;0.1;0.1;2.5;80.00%;0.9;0.85;20920.5100526;4370.9084616;25291.4185142;8.3394777;1000;0.2;800
56.79%;3.79%;13.69%;0.90%;1.23%;0.90%;0.18%;0.09%;0.12%;22.30%;240.4384778;71.5737375;23.5007110;5383.9041445;91.88%;638.6442708;343.6971994;40.1633561;35.8935517;0.1041673;8.9374944;33.9288133;17.3519472;530.3123517;440.4467237;352.2094047;334.0437914;;71.16439056;1.2;80.00%;99.58%;0.05;148.9506836;3;154.0579224;0.03;0.02;62.13979721;0.767617221;98.00%;2.349482536;0.1;0.1;2.5;80.00%;0.9;0.85;20081.6780649;2544.6609938;22626.3390587;14.9841689;1000;0.2;800
55.23%;2.32%;16.77%;0.88%;0.96%;0.73%;0.01%;0.26%;0.03%;22.80%;233.8337230;75.1975002;14.8600922;4812.0074399;94.93%;641.7324922;339.6735000;41.2200460;21.9717783;0.1437281;5.4709728;20.7690888;8.9652025;440.2708537;412.4061620;415.5791560;313.0962583;;51.38195038;1.2;80.00%;100.00%;0.05;147.9081268;3;156.5023041;0.03;0.02;63.73979568;0.759150754;98.00%;2.144517422;0.1;0.1;2.5;80.00%;0.9;0.85;20610.0229875;1557.6816637;22167.7046513;23.8060345;1000;0.2;800
60.62%;1.74%;16.07%;2.26%;1.42%;0.52%;0.13%;0.59%;0.10%;16.55%;256.6539976;85.1608862;11.5848039;6583.7790159;96.32%;714.6956974;375.0674060;16.7790146;16.4788337;0.0000000;4.1032296;15.5768166;1.1239019;438.3291371;398.3119292;430.2338166;302.8058702;;50.52376938;1.2;80.00%;99.96%;0.05;143.1896515;3;146.8029022;0.03;0.02;64.3687439;0.755921950;98.00%;2.695561171;0.1;0.1;2.5;80.00%;0.9;0.85;8389.5073103;1168.2612478;9557.7685581;34.8390805;1000;0.2;800
50.62%;6.30%;17.32%;0.85%;0.26%;0.86%;0.18%;0.53%;0.11%;22.97%;214.3158258;45.4685346;38.0352557;5463.1501789;86.05%;533.1843581;298.8777339;39.8486195;59.6647429;0.1916891;14.8565210;56.3988189;43.1203344;637.0900790;623.4367329;388.9174348;470.6339778;;51.55551147;1.2;80.00%;100.00%;0.05;146.7208405;3;144.5;0.03;0.02;52.12462616;0.815318462;98.00%;2.78010273;0.1;0.1;2.5;80.00%;0.9;0.85;19924.3097748;4229.9114145;24154.2211892;8.0349206;1000;0.2;800
62.91%;2.06%;15.83%;0.65%;0.70%;0.81%;0.22%;0.12%;0.14%;16.56%;266.3494390;62.8956403;13.3883806;5896.5683339;93.56%;720.4131388;379.1045821;8.6780198;19.5094239;0.0000000;4.8578465;18.4415185;9.1797919;461.0056374;406.0669282;417.5868023;308.3776107;;72.6677475;1.2;80.00%;97.49%;0.05;146.2823944;3;145.2532196;0.03;0.02;52.99729538;0.811502301;98.00%;2.554354191;0.1;0.1;2.5;80.00%;0.9;0.85;4339.0098821;1383.1138911;5722.1237732;30.5388350;1000;0.2;800
60.62%;4.57%;16.19%;2.66%;0.98%;0.43%;0.29%;0.09%;0.13%;14.02%;256.6539976;79.5636255;28.1817372;5252.2900523;91.32%;677.6047022;366.7896598;41.2214266;43.2806151;0.0674518;10.7768732;40.9115242;24.9481791;596.8943733;535.9421380;395.6353846;405.8979439;;53.25008774;1.2;80.00%;100.00%;0.05;147.341156;3;159.8552551;0.03;0.02;63.82740784;0.758757427;98.00%;2.109402657;0.1;0.1;2.5;80.00%;0.9;0.85;20610.7133090;3068.3643118;23679.0776208;13.2647702;1000;0.2;800
56.02%;6.87%;12.54%;2.36%;1.08%;0.38%;0.19%;0.21%;0.11%;20.26%;237.1784386;50.7944244;41.4853600;6278.6508098;85.21%;584.2694500;327.3905305;43.4817480;65.0629815;0.2013451;16.2006824;61.5015691;40.6498885;696.0312945;595.6180357;321.6170612;450.0655963;;59.88483429;1.2;80.00%;98.79%;0.05;140.8577423;3;157.3861694;0.03;0.02;52.84357834;0.812192844;98.00%;2.890644312;0.1;0.1;2.5;80.00%;0.9;0.85;21740.8739781;4612.6176853;26353.4916634;8.1542940;1000;0.2;800
57.84%;4.02%;16.82%;0.54%;0.93%;0.42%;0.07%;0.28%;0.04%;19.04%;244.8839859;62.7949038;24.8255729;5776.6532722;90.74%;642.4138396;346.4669894;40.3170491;38.0717883;0.0482113;9.4798753;35.9878177;21.4021181;546.0477540;498.1070041;395.2797786;377.1440183;;64.7039032;1.2;80.00%;98.65%;0.05;144.2582092;3;149.383255;0.03;0.02;57.15258026;0.792399564;98.00%;2.574249744;0.1;0.1;2.5;80.00%;0.9;0.85;20158.5245527;2699.0863311;22857.6108839;14.3880597;1000;0.2;800
55.52%;5.43%;17.68%;0.61%;1.07%;0.72%;0.12%;0.49%;0.07%;18.29%;235.0615300;50.7865498;33.0305161;4798.3098490;88.93%;604.3724117;332.2185719;42.8106292;51.4253260;0.1773819;12.8049062;48.6104105;30.3983835;615.9427030;579.2107759;392.6607306;437.8072985;;54.70280075;1.2;80.00%;100.00%;0.05;145.2573242;3;156.9016876;0.03;0.02;51.55773163;0.817680321;98.00%;2.244409561;0.1;0.1;2.5;80.00%;0.9;0.85;21405.3146231;3645.7807906;25051.0954137;10.2246777;1000;0.2;800
60.73%;6.16%;15.73%;1.32%;0.68%;0.67%;0.15%;0.16%;0.13%;14.26%;257.1197175;84.4449316;37.5143137;7544.5934065;85.99%;639.1753546;353.1320907;41.0237595;58.3388597;0.0019413;14.5263761;55.1455118;38.7558825;677.3199575;614.5116490;379.1835950;464.6719942;;61.85536575;1.2;80.00%;97.17%;0.05;140.7208862;3;147.3405914;0.03;0.02;68.08036804;0.735429442;98.00%;2.965111256;0.1;0.1;2.5;80.00%;0.9;0.85;20511.8797394;4135.9133830;24647.7931224;9.8587662;1000;0.2;800
62.34%;7.43%;24.37%;0.31%;0.80%;0.75%;0.26%;0.28%;0.05%;3.42%;263.9361632;53.9257747;44.9013057;5061.3024066;86.43%;659.5151842;368.2886532;41.0725844;70.3665142;0.0000000;17.5212620;66.5147975;46.9076960;765.6559761;778.2072373;461.8164168;587.1672356;;60.12305069;1.2;80.00%;99.77%;0.05;145.2545013;3;152.9099121;0.03;0.02;50.55944061;0.822013038;98.00%;2.090198278;0.1;0.1;2.5;80.00%;0.9;0.85;20536.2922208;4988.6098110;25524.9020318;8.3903096;1000;0.2;800
