Kadar Al2O3;Reactive SiO2 (Kaolinite, Clay,Ect);Fe2O3 (Hematite — INERT in NaOH);TiO2 (Rutile/Anatase — INERT);CaO (Calcium Oxide — INERT);MgO (Magnesium Oxide — INERT);Na2O (Sodium Oxide — INERT);K2O (Potassium Oxide — INERT);Cr2O3 (Chromium Oxide — INERT);Others;Total;Feed flow rate (ton/hour);Net Make-up NaOH Required (Recycled Spent Liquor)   ;CaO Addition in process ;Water added into system from redmud washing into conditioning   ;Alumunium in bauxite bauxite feed ;Alumunium in Recycled Spent Liquor  ;Alumina Hydrate Seed
52.27%;5.90%;16.44%;1.09%;1.16%;0.89%;0.14%;0.24%;0.12%;21.75%;100.00%;150;6.288915505;4.956829779;90.93041371;33.19729602;6.902034351;651.091332
55.72%;3.13%;19.24%;0.85%;0.47%;0.53%;0.17%;0.08%;0.09%;19.72%;100.00%;150;5.778844849;2.806004724;75.42401033;35.3854046;9.310910695;736.8321508
55.64%;4.57%;14.03%;0.27%;1.41%;0.38%;0.02%;0.32%;0.05%;23.32%;100.00%;150;5.899750086;3.227281874;72.60377619;35.33394307;11.99320557;779.2642923
58.54%;5.97%;23.34%;0.66%;0.88%;0.79%;0.30%;0.41%;0.11%;9.00%;100.00%;150;6.296365375;5.362094186;104.7423813;37.17903663;11.70798898;972.9483048
49.16%;7.84%;12.71%;2.55%;1.01%;0.50%;0.16%;0.42%;0.10%;25.54%;100.00%;150;6.169905549;7.22351722;101.7691633;31.21722904;8.076703504;717.6892605
60.51%;5.56%;21.56%;1.03%;1.10%;0.44%;0.09%;0.28%;0.07%;9.37%;100.00%;150;6.290009441;4.659736678;105.9551175;38.4256964;7.903473804;837.9645627
55.09%;2.16%;14.95%;1.39%;0.69%;0.57%;0.30%;0.47%;0.10%;24.28%;100.00%;150;5.138107925;1.494445003;59.7598597;34.98844866;10.00497982;758.9756763
57.66%;2.13%;18.28%;1.08%;1.01%;0.47%;0.12%;0.59%;0.10%;18.56%;100.00%;150;3.835584502;1.077466421;64.88262348;36.61772934;8.879791914;918.0172899
59.64%;4.75%;20.69%;2.82%;1.50%;0.69%;0.25%;0.49%;0.09%;9.08%;100.00%;150;6.180837076;3.310340932;94.55532822;37.87543091;9.492427631;873.2222496
58.86%;4.05%;20.93%;0.72%;0.63%;0.30%;0.14%;0.49%;0.01%;13.88%;100.00%;150;6.298744732;3.594840545;85.86323123;37.383115;7.924652617;711.8028499
55.56%;4.14%;19.82%;2.79%;0.78%;0.91%;0.25%;0.38%;0.08%;15.29%;100.00%;150;5.628828138;3.526213461;89.85527338;35.28234906;12.25736337;859.4346136
53.20%;1.75%;14.62%;0.30%;0.68%;0.91%;0.11%;0.46%;0.12%;27.85%;100.00%;150;5.489049533;1.069165785;59.60875502;33.78605072;11.7410141;717.2310952
60.34%;6.45%;13.94%;0.80%;0.99%;0.39%;0.20%;0.26%;0.03%;16.60%;100.00%;150;6.179302391;5.743630058;88.83433658;38.32025989;10.70026936;1010.72237
50.87%;1.74%;17.98%;0.88%;0.85%;0.90%;0.30%;0.59%;0.09%;25.81%;100.00%;150;5.536357526;0.843656287;61.79842982;32.30541228;9.562155782;678.1566527
53.87%;5.15%;15.30%;0.57%;1.36%;0.86%;0.15%;0.50%;0.14%;22.09%;100.00%;150;6.095231632;3.902887755;82.02108832;34.21429618;7.214490498;781.1702895
57.60%;3.75%;12.28%;2.50%;1.06%;0.55%;0.12%;0.06%;0.09%;21.99%;100.00%;150;5.97351163;2.771805229;66.11842281;36.58085268;8.842616725;664.500536
59.59%;4.58%;23.09%;0.40%;1.02%;0.84%;0.28%;0.16%;0.07%;9.96%;100.00%;150;6.101590145;3.711324942;96.21046853;37.843778;8.623255179;821.4837783
52.56%;5.53%;16.79%;0.32%;0.30%;0.92%;0.11%;0.13%;0.14%;23.21%;100.00%;150;6.178522671;5.596738309;85.30448282;33.38166797;11.40237893;730.6814539
61.12%;6.01%;15.88%;0.66%;1.25%;0.71%;0.07%;0.06%;0.10%;14.14%;100.00%;150;6.586280426;4.973716535;85.94388958;38.81288242;10.98800544;848.4409342
53.76%;2.71%;24.39%;0.74%;1.00%;0.89%;0.07%;0.06%;0.11%;16.27%;100.00%;150;6.271908643;1.709099835;82.90838011;34.1445061;12.33775297;753.0966496
62.44%;1.86%;12.37%;0.98%;0.60%;0.60%;0.20%;0.37%;0.14%;20.43%;100.00%;150;5.886365509;1.291781455;55.23020518;39.65422067;8.664200594;845.2386756
60.96%;3.34%;18.40%;2.49%;1.10%;0.59%;0.28%;0.31%;0.04%;12.49%;100.00%;150;2.690444015;2.269340988;79.34246388;38.71471373;14.18193912;1014.193577
53.57%;4.02%;18.38%;0.95%;1.43%;0.50%;0.08%;0.13%;0.04%;20.90%;100.00%;150;6.194460702;2.613961812;77.61826473;34.01807994;8.766396974;741.6196684
58.06%;5.06%;18.76%;0.31%;1.43%;0.82%;0.11%;0.43%;0.13%;14.90%;100.00%;150;6.138585021;3.732091441;86.87298516;36.87446161;12.82504467;875.5313244
49.66%;2.33%;16.08%;1.39%;0.66%;0.50%;0.17%;0.59%;0.14%;28.48%;100.00%;150;5.821460217;1.710836216;62.56714959;31.53946451;8.213026746;637.4354892
61.04%;6.33%;14.30%;0.43%;0.91%;0.71%;0.22%;0.36%;0.15%;15.55%;100.00%;150;6.209879231;5.720802693;89.34490138;38.76668628;8.688108968;763.0920499
49.73%;2.65%;21.45%;0.91%;0.73%;0.46%;0.04%;0.59%;0.13%;23.30%;100.00%;150;6.077598873;1.967833734;83.00371303;31.58183368;6.749678349;597.2829824
57.34%;6.38%;15.42%;0.87%;0.90%;0.26%;0.18%;0.17%;0.02%;18.45%;100.00%;150;6.028900103;5.785634167;87.49017097;36.41368504;11.95260444;832.6665705
54.75%;1.58%;15.08%;1.38%;0.92%;0.69%;0.15%;0.25%;0.13%;25.08%;100.00%;150;5.429183468;0.598871822;53.75743805;34.76762022;10.99733716;716.1180236
60.76%;6.69%;18.93%;2.83%;0.97%;0.28%;0.21%;0.59%;0.02%;8.72%;100.00%;150;6.077159919;6.035161765;105.0956352;38.58653497;11.1230069;920.0825409
61.33%;1.81%;19.07%;0.26%;1.45%;0.59%;0.09%;0.39%;0.13%;14.88%;100.00%;150;4.338499615;0.205555814;73.43685079;38.94950246;11.63523614;886.6937657
57.90%;7.64%;15.11%;0.59%;1.32%;0.56%;0.14%;0.28%;0.05%;16.40%;100.00%;150;6.466781896;6.646619042;96.99070614;36.76921057;9.465325273;770.8248123
58.90%;3.04%;21.32%;0.25%;0.46%;0.29%;0.27%;0.50%;0.02%;14.95%;100.00%;150;5.84299966;2.729041471;76.32736388;37.40440746;11.40231536;701.7645679
56.03%;6.84%;24.17%;2.48%;0.51%;0.86%;0.12%;0.46%;0.15%;8.39%;100.00%;150;6.192074096;6.749960837;127.8260804;35.58249146;7.09936987;708.5858384
58.31%;7.62%;20.03%;0.28%;1.20%;0.37%;0.20%;0.05%;0.12%;11.83%;100.00%;150;6.069312682;6.766299702;106.098634;37.03231355;11.79665942;990.7522019
50.52%;5.43%;18.76%;3.00%;0.97%;0.74%;0.25%;0.26%;0.13%;19.94%;100.00%;150;5.678615646;4.681039224;97.67073302;32.08460277;6.972465287;726.3995122
54.05%;1.71%;19.35%;0.95%;0.89%;0.40%;0.12%;0.05%;0.01%;22.48%;100.00%;150;5.62533963;0.779044336;63.13596089;34.32272689;9.551563961;870.515333
51.74%;3.22%;18.88%;2.33%;1.12%;0.88%;0.07%;0.52%;0.04%;21.19%;100.00%;150;6.246463016;2.118022215;78.04431208;32.85860005;12.08571602;861.9918344
59.83%;3.15%;15.47%;2.47%;1.05%;0.40%;0.28%;0.26%;0.08%;17.02%;100.00%;150;5.734175427;2.129380864;68.03271714;37.99898021;11.54547795;889.0252375
59.46%;1.73%;21.00%;1.87%;1.48%;0.56%;0.07%;0.52%;0.14%;13.16%;100.00%;150;5.854587549;0.086924782;72.20016731;37.7585135;10.37879853;769.8822479
49.83%;6.90%;24.77%;0.44%;0.72%;0.38%;0.07%;0.41%;0.01%;16.46%;100.00%;150;6.535138703;6.56464004;113.1895172;31.64818479;6.94437154;681.208777
54.75%;2.54%;21.37%;0.38%;1.16%;0.67%;0.09%;0.43%;0.02%;18.58%;100.00%;150;5.968233459;1.345672494;73.78347821;34.7691987;8.838664752;675.1371838
57.28%;3.65%;24.35%;1.67%;1.17%;0.76%;0.09%;0.50%;0.03%;10.50%;100.00%;150;5.988673601;2.524222301;93.55951147;36.37510498;11.0530726;668.5311302
51.42%;7.15%;16.67%;1.86%;0.88%;0.85%;0.15%;0.49%;0.04%;20.49%;100.00%;150;6.073244259;6.641987612;102.4971235;32.65306812;7.68630067;623.3121796
52.63%;6.50%;12.76%;2.09%;0.98%;0.27%;0.24%;0.09%;0.10%;24.33%;100.00%;150;6.290583672;5.815554485;84.7270394;33.42254193;9.544900431;792.2968381
52.88%;5.51%;20.87%;2.09%;1.31%;0.79%;0.18%;0.41%;0.13%;15.81%;100.00%;150;5.964418477;4.354517944;99.43504187;33.58240389;9.441195614;878.7874332
49.24%;7.82%;21.97%;1.19%;1.42%;0.68%;0.22%;0.47%;0.15%;16.85%;100.00%;150;6.148554208;6.715680679;116.7937595;31.27071193;10.17208344;798.5887613
54.59%;5.18%;20.31%;0.62%;0.50%;0.45%;0.09%;0.54%;0.03%;17.69%;100.00%;150;6.379753236;4.979527271;90.76738471;34.66752102;8.819073673;634.4975308
58.51%;2.71%;15.60%;0.55%;0.85%;0.39%;0.06%;0.41%;0.05%;20.87%;100.00%;150;5.111178523;1.899574019;63.16904386;37.15822112;10.34112829;826.0760539
49.93%;3.59%;23.10%;2.45%;0.28%;0.33%;0.22%;0.38%;0.09%;19.64%;100.00%;150;5.534437517;3.533799578;92.20286049;31.7076485;8.05436642;830.3880658
62.54%;7.56%;24.43%;0.43%;0.74%;0.84%;0.21%;0.29%;0.13%;2.83%;100.00%;150;5.970534982;7.246981102;121.659323;39.71679213;9.498840518;986.2206182
53.62%;7.45%;20.68%;1.15%;0.60%;0.63%;0.14%;0.59%;0.09%;15.04%;100.00%;150;6.04726579;7.298394697;110.3854063;34.05561147;8.103272976;738.5797553
60.28%;2.31%;12.11%;2.38%;0.75%;0.38%;0.16%;0.26%;0.07%;21.30%;100.00%;150;5.832713085;1.57961067;60.17186947;38.28382233;12.93161805;719.2173133
58.65%;1.75%;17.72%;1.15%;0.34%;0.61%;0.08%;0.20%;0.07%;19.42%;100.00%;150;5.995662554;1.473907626;60.23320589;37.25016672;10.50817379;837.9219889
61.21%;4.22%;17.18%;1.74%;0.30%;0.38%;0.14%;0.28%;0.09%;14.46%;100.00%;150;3.113683031;4.177941739;78.31280125;38.87367099;13.26868311;1076.739547
52.65%;4.96%;13.21%;2.23%;0.99%;0.69%;0.19%;0.42%;0.06%;24.60%;100.00%;150;5.879866665;4.148318335;77.51858722;33.43515464;8.523735972;808.6257201
54.47%;6.89%;12.24%;2.65%;0.53%;0.82%;0.19%;0.21%;0.07%;21.93%;100.00%;150;6.373146324;6.770767363;95.45841014;34.58961141;6.730020952;584.4973955
51.79%;2.23%;23.84%;1.20%;0.56%;0.83%;0.08%;0.56%;0.03%;18.90%;100.00%;150;5.790101529;1.728156915;84.03999098;32.89244466;9.108263418;808.0398301
51.51%;5.32%;13.50%;0.84%;0.32%;0.61%;0.23%;0.10%;0.05%;27.52%;100.00%;150;5.614400512;5.337328892;75.35255956;32.71366364;7.621126302;835.1042096
54.25%;3.86%;19.56%;2.49%;0.41%;0.30%;0.22%;0.45%;0.09%;18.36%;100.00%;150;5.942659695;3.653998311;83.30116511;34.4515113;8.327624845;651.8175175
62.30%;3.12%;24.47%;2.84%;1.30%;0.27%;0.15%;0.60%;0.02%;4.93%;100.00%;150;6.172533597;1.797403153;93.29892025;39.56406174;13.10420594;1056.520662
53.04%;7.76%;18.52%;2.00%;1.08%;0.40%;0.24%;0.46%;0.10%;16.39%;100.00%;150;6.384759382;7.060431791;109.2925784;33.68583417;9.286235735;906.4436003
60.91%;1.86%;21.98%;1.89%;0.76%;0.61%;0.06%;0.16%;0.08%;11.71%;100.00%;150;3.741912547;1.089342533;76.31516343;38.6845106;11.49554635;761.7638084
52.49%;2.66%;16.09%;1.81%;0.90%;0.56%;0.14%;0.39%;0.06%;24.90%;100.00%;150;6.102723808;1.78159196;64.97383215;33.3320726;10.70198613;825.1295434
52.74%;4.99%;23.38%;1.22%;1.05%;0.28%;0.20%;0.16%;0.09%;15.87%;100.00%;150;5.857273226;4.112517241;100.4016942;33.49325185;10.69030982;818.1216261
60.07%;5.34%;21.29%;0.82%;1.29%;0.66%;0.17%;0.26%;0.09%;10.01%;100.00%;150;6.055140086;4.206961495;100.3330397;38.14993908;12.63707512;933.5072949
61.11%;4.01%;14.05%;2.38%;0.63%;0.26%;0.20%;0.21%;0.14%;17.00%;100.00%;150;2.999316303;3.557710467;71.20981529;38.80882833;12.03626739;982.014908
53.89%;2.04%;18.36%;2.68%;0.93%;0.90%;0.21%;0.08%;0.03%;20.89%;100.00%;150;5.50172952;1.081648596;76.73948036;34.22280181;8.49787631;622.1940271
61.46%;5.06%;21.13%;2.43%;0.31%;0.35%;0.28%;0.17%;0.11%;8.69%;100.00%;150;5.630310859;5.08307511;97.01371282;39.03451334;10.48609808;712.2876892
51.52%;1.98%;22.62%;2.31%;0.44%;0.43%;0.04%;0.29%;0.09%;20.27%;100.00%;150;5.650685626;1.600414338;78.69980627;32.71815304;10.3317367;646.002327
59.01%;5.39%;21.48%;2.81%;1.17%;0.62%;0.05%;0.18%;0.08%;9.21%;100.00%;150;5.00905124;4.401594166;100.0290411;37.47568518;11.33989538;968.7765955
56.45%;1.52%;22.62%;0.62%;1.00%;0.85%;0.06%;0.26%;0.05%;16.57%;100.00%;150;5.670293871;0.441464594;72.80300239;35.8516926;12.01218464;766.6706242
57.87%;3.71%;21.95%;2.43%;1.48%;0.28%;0.20%;0.25%;0.13%;11.71%;100.00%;150;6.053526553;2.218812837;89.54018106;36.75177536;13.23846399;962.4271736
49.99%;1.94%;16.43%;0.71%;0.79%;0.48%;0.20%;0.58%;0.01%;28.87%;100.00%;150;5.331663833;1.136383222;60.14859735;31.74720328;7.795930632;570.6270922
61.75%;5.83%;12.85%;2.47%;1.44%;0.82%;0.25%;0.47%;0.09%;14.04%;100.00%;150;6.198631252;4.549103238;89.20036938;39.21307103;9.777225917;759.6736744
56.65%;2.79%;12.33%;1.98%;0.56%;0.29%;0.26%;0.17%;0.08%;24.90%;100.00%;150;5.673228346;2.332728307;56.23868971;35.97427665;9.259455733;858.5030098
50.07%;5.87%;15.66%;0.80%;0.75%;0.51%;0.11%;0.37%;0.11%;25.75%;100.00%;150;6.465102415;5.424592179;85.43191352;31.79817461;6.93363414;760.017409
59.06%;3.48%;19.61%;0.43%;0.68%;0.44%;0.11%;0.57%;0.06%;15.56%;100.00%;150;5.923900964;2.925740723;77.41648055;37.50759928;8.918351528;945.3078563
55.67%;1.59%;17.06%;0.89%;1.46%;0.51%;0.28%;0.55%;0.08%;21.92%;100.00%;150;5.732146231;-0.045639345;57.9615599;35.35138208;8.055918159;698.1539226
56.40%;6.39%;16.68%;0.64%;1.09%;0.51%;0.15%;0.52%;0.07%;17.55%;100.00%;150;6.421024374;5.563875148;92.41911718;35.81915771;8.641531043;793.651033
49.90%;4.83%;23.14%;2.16%;1.19%;0.45%;0.06%;0.56%;0.11%;17.61%;100.00%;150;6.497941352;3.762175943;100.4701626;31.68853638;10.16359244;656.2745392
56.27%;2.14%;13.47%;0.94%;1.47%;0.47%;0.26%;0.52%;0.12%;24.33%;100.00%;150;5.15648083;0.542284009;53.87803713;35.73811764;8.603606031;791.246865
55.34%;1.62%;12.87%;1.95%;0.34%;0.80%;0.28%;0.34%;0.03%;26.43%;100.00%;150;4.770168888;1.335727376;51.35084021;35.14195883;9.722376911;836.2404252
56.12%;2.01%;13.02%;1.32%;0.52%;0.51%;0.04%;0.47%;0.01%;25.97%;100.00%;150;6.221041589;1.537152813;51.89270344;35.64246241;13.40010975;754.0886218
51.90%;4.91%;24.87%;1.02%;0.92%;0.81%;0.14%;0.57%;0.09%;14.77%;100.00%;150;5.813325156;4.183742461;103.8183415;32.96282904;8.083232619;727.3640657
56.14%;6.95%;15.32%;0.90%;0.60%;0.33%;0.27%;0.11%;0.08%;19.29%;100.00%;150;6.041657054;6.760959467;91.6858614;35.65537416;7.466929072;779.7257453
54.54%;4.85%;13.35%;1.46%;0.64%;0.57%;0.10%;0.50%;0.08%;23.92%;100.00%;150;6.364320317;4.442287876;73.9273407;34.63854812;10.55587668;769.6449459
61.68%;4.23%;24.43%;1.76%;1.32%;0.67%;0.13%;0.15%;0.04%;5.58%;100.00%;150;3.538243647;2.972715449;96.78847658;39.17339323;10.23234215;843.2701934
